Project,Project-URL,Filename,License,Attribution,Image-URI,MIME type,Event
Sounds without meaning,https://codingdavinci.de/en/projekte/sounds-without-meaning,sounds_without_meaning.jpg,CC BY 4.0,Leander Seige,/sites/default/files/2019-12/sounds_without_meaning.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
Crawling Feminism,https://codingdavinci.de/de/projekte/crawling-feminism,crawling_feminism.jpg,CC BY-SA 3.0 DE,Sandra Becker,/sites/default/files/2019-12/crawling_feminism.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
Interaktive Karte für euregio-history.net,https://codingdavinci.de/de/projekte/interaktive-karte-fuer-euregio-historynet,euregiohistoryMap.jpg,CC0 1.0,,/sites/default/files/2019-12/euregiohistoryMap.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
NWBib-NRW Städte-Quiz,https://codingdavinci.de/de/projekte/nwbib-nrw-staedte-quiz,nwbiQuiz.jpg,CC0 1.0,,/sites/default/files/2019-12/nwbiQuiz.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
American Guild - Network Data,https://codingdavinci.de/de/projekte/american-guild-network-data,american_guild_0.jpg,CC0 1.0,,/sites/default/files/2020-07/american_guild_0.jpg,image/jpeg,Saar-Lor-Lux 2020
American Guild - Network Data,https://codingdavinci.de/de/projekte/american-guild-network-data,american_guild_0.jpg,CC0 1.0,,/sites/default/files/2020-07/american_guild_0.jpg,image/jpeg,Saar-Lor-Lux 2020
American Guild - Network Data,https://codingdavinci.de/fr/projekte/american-guild-network-data,american_guild_0.jpg,CC0 1.0,,/sites/default/files/2020-07/american_guild_0.jpg,image/jpeg,Saar-Lor-Lux 2020
American Guild - Network Data,https://codingdavinci.de/fr/projekte/american-guild-network-data,american_guild_0.jpg,CC0 1.0,,/sites/default/files/2020-07/american_guild_0.jpg,image/jpeg,Saar-Lor-Lux 2020
Atlas 1833,https://codingdavinci.de/de/projekte/atlas-1833,atlas_1833_0.jpg,CC0 1.0,,/sites/default/files/2020-07/atlas_1833_0.jpg,image/jpeg,Saar-Lor-Lux 2020
Atlas 1833,https://codingdavinci.de/de/projekte/atlas-1833,atlas_1833_0.jpg,CC0 1.0,,/sites/default/files/2020-07/atlas_1833_0.jpg,image/jpeg,Saar-Lor-Lux 2020
